"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-KC-A7F6-01",7.5776,10.4389,10.0883,11.0924,8.525,6.6132
"TCGA-HC-7211-01",8.1367,9.9398,9.5611,12.1195,3.5742,6.3011
"TCGA-KC-A4BV-01",5.4234,12.4711,9.688,11.624,7.3889,5.4411
"TCGA-KK-A8IH-01",7.9935,10.5839,9.751,11.5114,5.5197,5.2418
"TCGA-2A-A8VV-01",5.6559,10.3078,9.9117,11.3793,8.0397,3.7769
"TCGA-QU-A6IM-01",6.7889,9.6959,10.1853,9.9482,9.5747,4.8707
"TCGA-XK-AAJT-01",7.6537,11.5273,10.4709,11.1121,6.6408,6.2919
"TCGA-HC-7210-01",8.212,11.3957,9.934,11.9188,3.927,6.3756
"TCGA-ZG-A8QZ-01",7.5064,12.0153,10.045,11.2214,7.6615,6.4186
"TCGA-ZG-A9ND-01",3.2173,9.6006,9.8685,11.306,4.0194,5.8509
"TCGA-J4-A67O-01",7.0229,11.5206,9.9426,10.2024,7.9372,5.5811
"TCGA-XK-AAJ3-01",6.1355,11.271,10.2604,11.4867,11.504,4.5817
"TCGA-YL-A8SB-01",5.761,12.9068,10.263,11.5678,8.0688,4.7874
"TCGA-G9-6385-01",6.7858,11.3449,10.0236,11.689,5.5655,4.3549
"TCGA-YL-A8HM-01",8.1352,10.2337,10.5126,11.4424,8.4595,4.8669
"TCGA-X4-A8KS-01",7.5023,11.0065,9.8091,10.5679,8.782,4.7356
"TCGA-EJ-7785-01",8.4357,11.3,9.8445,11.8514,6.9569,5.5049
"TCGA-HC-7752-01",8.9417,10.2558,10.0301,10.7747,5.663,5.5304
"TCGA-YL-A8SP-01",1.9863,10.3875,10.2236,10.7115,7.9501,4.1978
"TCGA-EJ-5526-01",8.6493,10.7289,9.532,11.9118,8.4849,3.6702
"TCGA-EJ-7314-01",5.1178,9.8022,9.9029,11.471,8.4315,5.3243
"TCGA-J4-A67S-01",7.8491,10.1128,10.3153,10.4956,6.9142,4.7942
"TCGA-YJ-A8SW-01",6.015,10.1759,10.0467,11.55,9.2191,3.9438
"TCGA-V1-A9ZG-01",6.6232,12.2445,10.4233,11.6085,6.9741,6.6914
"TCGA-FC-A8O0-01",5.4511,11.5326,10.2718,11.3015,7.568,3.8041
"TCGA-ZG-A9NI-01",5.5026,12.4439,11.0069,11.3462,6.7907,7.0169
"TCGA-G9-7510-01",9.5651,11.5607,10.2694,11.6738,4.9139,7.5806
"TCGA-EJ-5502-01",8.3521,11.4802,9.9172,11.8435,6.0221,6.1505
"TCGA-YL-A8S8-01",5.9753,11.1995,10.0783,11.2576,6.6547,6.3394
"TCGA-X4-A8KQ-01",8.3567,11.7172,10.0035,10.6563,9,7.5455
